screen_name,text
cunningman45,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
auto_futures,b'question \xe2\x9d\x94\xe2\x9a\xa1  what would make you buy an #electric car?'
tslaluv,b'rt @afmusk: when the haters realize all the taxis are turning into teslas \xf0\x9f\x98\x8f https://t.co/bn95kcgt8x'
pflab,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
sgfleetuk,b'choosing an electric or hybrid for your next company car could help bring down the amount of tax you pay. take a lo\xe2\x80\xa6 https://t.co/6onvliex0y'
mrkwakye_,"b'rt @yeujiinioi: a professional exterior car designer and auto electric engineer is all i aspire to be, i sketch on paper with pen and penci\xe2\x80\xa6'"
dunkiefulldunk1,b'rt @leilaisi: volkswagen is importing a batch of electric-powered versions of its golf hatchback car to #rwanda for a local ride-hailing se\xe2\x80\xa6'
uysal_hasan07,b'rt @volkswagen: the #zwickau plant will become the largest and most efficient electric car plant in europe. e-mobility board member thomas\xe2\x80\xa6'
rsdigest,b'nobel laureate says better batteries can cement electric-car era https://t.co/3o6k0auy4i'
i_am_ibbu,b'rt @reutersplus: collaboration is powering the next generation of electric and hybrid vehicles. reducing the weight of car components by up\xe2\x80\xa6'
curioushomer,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
kaluza_tech,"b'""theoretically you could see a future where every single [electric] car is a #battery for the #grid, with every hou\xe2\x80\xa6 https://t.co/4lflokhdmc'"
newelectricirl,b'so many ultra low cost solutions based on oem hybrid/electric vehicle part #upcycling \xf0\x9f\x98\x8e  if you have access to\xe2\x80\xa6 https://t.co/zievd0iloo'
nav2115,b'rt @rebeccathegr8: @rbreich @toyota you duped me. i just bought a hybrid car from y\xe2\x80\x99all. had i known that you would choose to bash californ\xe2\x80\xa6'
thatbeekaygoon,"b'rt @macnyanda: in malawi, we need to launch electricity first https://t.co/6jz060r9j1'"
clarasa66414026,"b'rt @bettybeth4: the ultimate concept car will move so fast, even at rest, as to be invisible #thekillerbriderushhour'"
myworkdrive,b'so in other words losing billions of dollars in claims and losing customer trust taught equifax nothing? going tota\xe2\x80\xa6 https://t.co/7hz9codt6r'
bridleleasing,b'rt @fultonleasing: the bmw 5 series 530e is a plug-in hybrid with a 252bhp 2.0-litre petrol engine combined with an electric motor.   speci\xe2\x80\xa6'
